id,spare_code,spare_category,spare_name_th,spare_name_en,spare_description,spare_location,spare_brand,spare_model,spare_dealer,spare_price,spare_pic,spare_amount,spare_min,spare_install_date,spare_start_work,spare_stop_work,note,status
119,CS-33,Pump,ปั๊มน้ำเสีย #1,Waste Water Pump #1,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Wait_technician
120,CS-34,Pump,ปั๊มน้ำเสีย #2,Waste Water Pump #2,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
121,CS-35,Tank,ถังดักน้ำมันกลับ,Recovery Tank,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
122,CS-36,Pump,ปั๊มน้ำมันกลับ,Recovery Pump,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
123,CS-37,,ปั๊มลม #2,Air Compressure #2,,Clarification Station,,,,,engine.png,,,,2015-09-20,,,Active
124,CS-38,Separetor,เครื่องแยกน้ำมัน # 1,Separator PASX 710 # 1,,Clarification Station,Westfarial,,,,engine.png,,,,2019-12-10,,,Active
125,CS-39,Separetor,เครื่องแยกน้ำมัน #2,Separator PASX 710 # 2,,Clarification Station,Westfarial,,,,engine.png,,,,2019-12-10,,,Active
126,CS-40,Tank,ถังฟีต,Separator Feed Tank # 3,,Clarification Station,,,,,engine.png,,,,2019-12-10,,,Active
127,CS-41,Tank,ถังน้ำร้อน,Hot Water Tank # 3,,Clarification Station,,,,,engine.png,,,,2019-12-10,,,Active
128,CS-42,Pump,ปั้มป้อนสลัดจ์เข้าถังฟีต,Separator Feed Pump,,Clarification Station,,,,,engine.png,,,,2019-12-10,,,Active
129,CS-43,Vibrating Screen,ตะแกรงสั่นเครื่องแยกน้ำมัน,Separator Vibrating,,Clarification Station,,,,,engine.png,,,,2019-12-10,,,Active
130,CS-44,Cyclone,เครื่องแยกทราย #3,Sand Cyclon #3,,Clarification Station,,,,,engine.png,,,,2019-12-10,,,Active
131,CS-45,Cyclone,ถังพักน้ำสลัดจ์จากตะแกรงสั่น,Separator Sludge Buffer Tank,,Clarification Station,,,,,engine.png,,,,2019-12-10,,,Active
132,CS-46,Pump,ปั้มดับเพลิง,Fire Pump,,Clarification Station,,,,,engine.png,,,,2018-08-22,,,Active
133,CS-47,Tank,ถังฟีต 4,Separator  Feed  Tank #4,,Clarification Station,,,,,engine.png,,,2019-06-22,2018-06-22,,,Active
134,CS-48,Tank,ถังระดับ,ฺBalance Water Tank,,Clarification Station,,,,,engine.png,,,2019-06-22,2018-06-22,,,Active
135,CS-49,Pump,ปั้มFeed,Pump Separator  Feed Tank,,Clarification Station,,,,,engine.png,,,2019-06-22,2018-06-22,,,Active
136,CS-50,,ถังตกจม แนวนอน #1,Vertical Clarifier Setting Tank #1,,Clarification Station,,,,,engine.png,,,,2019-08-20,,,Active
137,CS-51,,ปั๊มน้ำมัน,Pure Oil  Pump,,Clarification Station,,,,,engine.png,,,,2019-08-20,,,Active
138,CS-52,,ถังน้ำมัน # 1,Pure Oil  Tank # 1,,Clarification Station,,,,,engine.png,,,,2019-08-20,,,Active
139,KS-01,,ปล่องแยกเส้นใยกับเมล็ด,Depericarper Column,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
140,KS-02,Cyclone,เครื่องแยกเส้นใย,Fiber Cyclone,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
141,KS-03,Blower,พัดลมเครื่องแยกเส้นใย,Fiber Cyclone Fan,,Kernal Recovery Station,Novenco,CBS-900/70/R,,,engine.png,,,,2015-09-20,,,Wait_assignment
142,KS-03-01,motor,มอเตอร์,Motor,,Kernal Recovery Station,SEW eurodrive,DRS132M4/FG,,,engine.png,,,,,,,Active
143,KS-03-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R97DRS132M4,,,engine.png,,,,,,,Active
144,KS-04,Cyclone,เครื่องดักลมของ,Fiber Cyclone Airlock,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
145,KS-04-01,motor,มอเตอร์,motor,,Kernal Recovery Station,SEW eurodrive,DRSW132M4/FG,,,engine.png,,,,,,,Active
146,KS-04-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R97DRS132M4,,,engine.png,,,,,,,Active
147,KS-05,Drum,เครื่องขัดมล็ด,Nut Polishing Drum,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
148,KS-05-01,motor,มอเตอร์,Motor,,Kernal Recovery Station,Elektrim,225 S-4,,,engine.png,,,,,,,Active
149,KS-05-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,EASTFORCE,EF3000-B1,,,engine.png,,,,,,,Active
150,KS-06,Screw Conveyor,สกรูลำเลียงมล็ด,Auger Nut Conveyor,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
151,KS-06-01,motor,มอเตอร์,Motor,,Kernal Recovery Station,SEW eurodrive,DRS112M4/FG,,,engine.png,,,,,,,Active
152,KS-06-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R87DRS112M4,,,engine.png,,,,,,,Active
153,KS-07,Cyclone,เครื่องแยกหิน,Destoner Cyclone,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
154,KS-08,Blower,พัดลมเครื่องแยกหิน,Destoner Cyclone Fan,,Kernal Recovery Station,Novenco,,,,engine.png,,,,2015-09-20,,,Active
155,KS-08-01,,มอเตอร์,Motor,,Kernal Recovery Station,,,,,engine.png,,,,,,,Active
156,KS-08-02,,เกียร์,Gear,,Kernal Recovery Station,,,,,engine.png,,,,,,,Active
157,KS-09,Column,ปล่องเครื่องแยกหิน,Destoner Column,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
158,KS-10,Cyclone,เครื่องกันลมเครื่องแยกหิน,Air Lock Destoner Cyclone,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
